Restaurant_Name,Restaurant_description,Location,Restaurant_type,recommended_dishes,famous_Cuisines,Cost_per_person,allergy_food_product,menu_without_allergy,menu_with_allergy,reviews
Flavors of Punjab,"""Flavors of Punjab welcomes diners to savor the rich and hearty flavors of Punjabi cuisine, situated in the lively city of Amritsar. With a stellar rating of 4.6 and over 1800 satisfied customers, it promises an unforgettable dining experience at an approximate cost of 1300 Indian rupees for two. For reservations and inquiries, please call 0183-7654321.""","India, Amritsar","Casual Dining, Family Gatherings, Solo Dining","Butter Chicken, Sarson Da Saag, Makki Di Roti, Chole Bhature, Dal Makhani, Lassi, Jalebi","Punjabi, North Indian",1300 Indian Rupees,Dairy,"Sarson Da Saag, Makki Di Roti, Chole Bhature, Dal Makhani","Butter Chicken, Sarson Da Saag, Makki Di Roti, Chole Bhature, Dal Makhani, Lassi, Jalebi","Hearty Flavors: Flavors of Punjab offers a hearty dining experience with its rich and flavorful Punjabi cuisine. The Butter Chicken and Sarson Da Saag are highlights, while the Makki Di Roti provides a perfect accompaniment. The service is warm and welcoming, making it a favorite among locals and tourists alike. A Culinary Delight: Dive into the rich and vibrant flavors of Punjab at Flavors of Punjab, where every dish tells a story of tradition and taste. From the creamy Dal Makhani to the crispy Jalebi, each bite is a celebration of Punjabi hospitality. With affordable prices and top-notch quality, this restaurant promises a memorable dining experience for all."
Darjeeling Delights,"""Darjeeling Delights invites diners to experience the flavors of the Himalayas, nestled in the serene town of Darjeeling. With a glowing rating of 4.8 and over 2200 satisfied patrons, it promises an unforgettable dining experience at an approximate cost of 1800 Indian rupees for two. For reservations and inquiries, please call 0354-9876543.""","India, Darjeeling","Fine Dining, Romantic Dinners, Group Events","Momos, Thukpa, Pork Curry, Aloo Dum, Darjeeling Tea, Sel Roti, Chhurpi","Himalayan, Tibetan, Nepali",1800 Indian Rupees,"Gluten, Dairy","Momos, Thukpa, Darjeeling Tea, Sel Roti,Chhurpi","Momos, Thukpa, Pork Curry, Aloo Dum, Darjeeling Tea, Sel Roti, Chhurpi","Himalayan Retreat: Darjeeling Delights offers a culinary retreat amidst the majestic Himalayas, with its authentic Momos and Thukpa capturing the essence of the region. The Pork Curry is a hearty delight, while the Darjeeling Tea provides a refreshing finish to the meal. With cozy ambiance and warm hospitality, this restaurant is a hidden gem in Darjeeling. A Taste of the Himalayas: Indulge in the rich and diverse flavors of the Himalayas at Darjeeling Delights, where every dish is a testament to the region's culinary heritage. From the comforting Aloo Dum to the crispy Sel Roti, each bite is a journey through the serene landscapes of Darjeeling. With reasonable prices and top-notch quality, this restaurant promises a memorable dining experience for all."
Spice Street,"""Spice Street offers a tantalizing journey through the flavors of street food from across India, located in the vibrant city of Hyderabad. With a stellar rating of 4.7 and over 2000 satisfied patrons, it promises an unforgettable dining experience at an approximate cost of 1500 Indian rupees for two. For reservations and inquiries, please call 040-87654321.""","India, Hyderabad","Casual Dining, Family Gatherings, Solo Dining","Biryani, Kebabs, Hyderabadi Dum Chicken, Haleem, Mirchi Bajji, Irani Chai, Double Ka Meetha","Hyderabadi, Andhra, North Indian",1500 Indian Rupees,Shellfish,"Biryani, Kebabs, Haleem, Mirchi Bajji, Irani Chai, Double Ka Meetha","Biryani, Kebabs, Hyderabadi Dum Chicken, Haleem, Mirchi Bajji, Irani Chai, Double Ka Meetha","Street Food Extravaganza: Spice Street offers a feast for the senses with its eclectic selection of street food delights, from the aromatic Biryani to the spicy Mirchi Bajji. The Hyderabadi Dum Chicken is a must-try, while the Double Ka Meetha provides a sweet conclusion to the meal. With vibrant ambiance and friendly service, this restaurant captures the essence of Hyderabad's culinary scene. A Culinary Adventure: Embark on a culinary adventure through the streets of India at Spice Street, where every dish tells a story of tradition and taste. From the rich flavors of Hyderabadi Dum Chicken to the comforting warmth of Irani Chai, each bite is a celebration of street food culture. With affordable prices and top-notch quality, this restaurant promises a memorable dining experience for all."
Spicy Sizzlers,"""Spicy Sizzlers is a sizzling hotspot for lovers of spicy and flavorful dishes, situated in the bustling city of Bangalore. With a glowing rating of 4.8 and over 2200 satisfied patrons, it promises an unforgettable dining experience at an approximate cost of 1600 Indian rupees for two. For reservations and inquiries, please call 080-9876543.""","India, Bangalore","Casual Dining, Group Events, Celebrations","Sizzlers, Tandoori Platter, Spicy Noodles, Chicken Wings, BBQ Ribs, Chocolate Brownie, Mojito","Continental, Indian Fusion",1600 Indian Rupees,Shellfish,"Spicy Noodles, Chicken Wings, BBQ Ribs, Chocolate Brownie, Mojito","Sizzlers, Tandoori Platter, Spicy Noodles, Chicken Wings, BBQ Ribs, Chocolate Brownie, Mojito","Sizzle and Spice: Spicy Sizzlers offers a sizzling array of dishes that tantalize the taste buds, with its flavorful Sizzlers and Spicy Noodles stealing the show. The BBQ Ribs are a carnivore's delight, while the Chocolate Brownie provides a sweet ending to the meal. With lively ambiance and attentive service, this restaurant is a favorite among spice enthusiasts in Bangalore. A Fusion Feast: Dive into a fusion feast of flavors at Spicy Sizzlers, where traditional Indian spices meet international cuisines. From the succulent Tandoori Platter to the zesty Chicken Wings, each dish is a celebration of culinary innovation. With reasonable prices and top-notch quality, this restaurant promises a memorable dining experience for all."
Malabar Spice,"""Malabar Spice beckons diners to experience the flavors of Kerala, situated in the picturesque town of Kochi. With a stellar rating of 4.7 and over 1900 satisfied patrons, it promises an unforgettable dining experience at an approximate cost of 1700 Indian rupees for two. For reservations and inquiries, please call 0484-7654321.""","India, Kochi","Fine Dining, Seafood Specialties, Celebrations","Fish Moilee, Appam, Malabar Prawn Curry, Beef Fry, Kappa, Parotta, Payasam","Kerala, South Indian, Seafood",1700 Indian Rupees,Shellfish,"Appam, Beef Fry, Kappa, Parotta, Payasam","Fish Moilee, Appam, Malabar Prawn Curry, Beef Fry, Kappa, Parotta, Payasam","Coastal Delights: Malabar Spice offers a tantalizing journey through the flavors of Kerala, with its authentic Fish Moilee and Malabar Prawn Curry stealing the spotlight. The Beef Fry is a carnivore's delight, while the Payasam provides a sweet conclusion to the meal. With serene ambiance and warm hospitality, this restaurant captures the essence of coastal cuisine. A Taste of Kerala: Indulge in the rich and vibrant flavors of Kerala at Malabar Spice, where every dish is a celebration of the region's culinary heritage. From the crispy Appam to the comforting Kappa, each bite is a journey through the backwaters of Kerala. With reasonable prices and top-notch quality, this restaurant promises a memorable dining experience for all."
Spice Valley,"""Spice Valley invites diners to embark on a culinary journey through the flavors of North India, situated in the historic city of Jaipur. With a stellar rating of 4.8 and over 2000 satisfied patrons, it promises an unforgettable dining experience at an approximate cost of 1600 Indian rupees for two. For reservations and inquiries, please call 0141-9876543.""","India, Jaipur","Fine Dining, Celebrations, Romantic Dinners","Laal Maas, Gatte ki Sabzi, Dal Baati Churma, Rajasthani Thali, Ker Sangri, Rabri, Paan","Rajasthani, North Indian",1600 Indian Rupees,"Gluten, Nuts","Gatte ki Sabzi, Ker Sangri, Rabri, Paan","Laal Maas, Gatte ki Sabzi, Dal Baati Churma, Rajasthani Thali, Ker Sangri, Rabri, Paan","Regal Delights: Spice Valley offers a regal dining experience with its authentic Rajasthani cuisine, with the Laal Maas and Gatte ki Sabzi stealing the show. The Dal Baati Churma is a comfort classic, while the Rabri provides a sweet conclusion to the meal. With opulent ambiance and impeccable service, this restaurant is a crown jewel of Jaipur's dining scene. A Taste of Royalty: Indulge in the rich and vibrant flavors of Rajasthan at Spice Valley, where every dish is fit for a king. From the decadent Rajasthani Thali to the refreshing Paan, each bite is a journey through the palaces and forts of the region. With reasonable prices and top-notch quality, this restaurant promises a memorable dining experience for all."
Chaat Chatore,"""Chaat Chatore is a haven for lovers of street food, nestled in the bustling lanes of Delhi. With a glowing rating of 4.9 and over 2300 satisfied patrons, it promises an unforgettable dining experience at an approximate cost of 1200 Indian rupees for two. For reservations and inquiries, please call 011-87654321.""","India, Delhi","Casual Dining, Street Food Specialties, Family Gatherings","Golgappa, Papdi Chaat, Aloo Tikki, Chole Bhature, Dahi Puri, Kachori, Falooda","North Indian, Street Food",1200 Indian Rupees,Dairy,"Golgappa, Papdi Chaat, Aloo Tikki, Chole Bhature, Dahi Puri, Kachori, Falooda","Golgappa, Papdi Chaat, Aloo Tikki, Chole Bhature, Dahi Puri, Kachori, Falooda","Street Food Extravaganza: Chaat Chatore offers a culinary extravaganza with its lip-smacking selection of street food delights, from the tangy Golgappa to the crunchy Aloo Tikki. The Chole Bhature is a hearty favorite, while the Falooda provides a sweet ending to the meal. With vibrant ambiance and friendly service, this restaurant is a favorite among food enthusiasts in Delhi. A Taste of the Streets: Dive into the vibrant and colorful world of street food at Chaat Chatore, where every bite is a burst of flavor and spice. From the crispy Papdi Chaat to the creamy Dahi Puri, each dish tells a story of tradition and taste. With affordable prices and top-notch quality, this restaurant promises a memorable dining experience for all."
Paradise Platter,"""Paradise Platter beckons diners to experience the flavors of Lucknow, situated in the charming city of Lucknow. With a stellar rating of 4.7 and over 2000 satisfied patrons, it promises an unforgettable dining experience at an approximate cost of 1500 Indian rupees for two. For reservations and inquiries, please call 0522-8765432.""","India, Lucknow","Fine Dining, Family Gatherings, Romantic Dinners","Lucknowi Biryani, Galouti Kebab, Nihari, Sheermal, Kababs, Phirni, Paan","Awadhi, North Indian",1500 Indian Rupees,Shellfish,"Lucknowi Biryani, Galouti Kebab, Nihari, Sheermal, Phirni, Paan","Lucknowi Biryani, Galouti Kebab, Nihari, Sheermal, Kababs, Phirni, Paan","Awadhi Delicacies: Paradise Platter offers an exquisite selection of Awadhi delicacies, with its flavorful Lucknowi Biryani and melt-in-your-mouth Galouti Kebab stealing the spotlight. The Nihari is a comforting classic, while the Paan provides a refreshing finish to the meal. With elegant ambiance and impeccable service, this restaurant captures the essence of Lucknow's culinary heritage. A Taste of Awadh: Indulge in the rich and royal flavors of Awadhi cuisine at Paradise Platter, where every dish is a testament to culinary excellence. From the fragrant Sheermal to the decadent Phirni, each bite is a journey through the royal kitchens of Lucknow. With reasonable prices and top-notch quality, this restaurant promises a memorable dining experience for all."
Tandoori Twist,"""Tandoori Twist offers a tantalizing array of tandoori specialties, nestled in the vibrant city of Mumbai. With a stellar rating of 4.8 and over 2200 satisfied patrons, it promises an unforgettable dining experience at an approximate cost of 1600 Indian rupees for two. For reservations and inquiries, please call 022-9876543.""","India, Mumbai","Casual Dining, Family Gatherings, Celebrations","Tandoori Chicken, Seekh Kebab, Tandoori Fish, Paneer Tikka, Chicken Tikka, Butter Naan, Gulab Jamun","North Indian, Tandoori",1600 Indian Rupees,"Gluten, Nuts","Tandoori Chicken, Seekh Kebab, Tandoori Fish, Paneer Tikka, Chicken Tikka, Gulab Jamun","Tandoori Chicken, Seekh Kebab, Tandoori Fish, Paneer Tikka, Chicken Tikka, Butter Naan, Gulab Jamun","Tandoori Delights: Tandoori Twist offers a delightful selection of tandoori specialties, with its succulent Tandoori Chicken and flavorful Paneer Tikka stealing the show. The Butter Naan is a perfect accompaniment, while the Gulab Jamun provides a sweet ending to the meal. With vibrant ambiance and friendly service, this restaurant is a favorite among tandoori enthusiasts in Mumbai. A Culinary Journey: Embark on a culinary journey through the flavors of North India at Tandoori Twist, where traditional tandoori techniques meet contemporary flavors. From the spicy Seekh Kebab to the smoky Tandoori Fish, each dish is a celebration of culinary innovation. With affordable prices and top-notch quality, this restaurant promises a memorable dining experience for all."
Biryani Bazaar,"""Biryani Bazaar is a culinary paradise for biryani enthusiasts, located in the heart of Hyderabad. With a glowing rating of 4.9 and over 2500 satisfied patrons, it promises an unforgettable dining experience at an approximate cost of 1800 Indian rupees for two. For reservations and inquiries, please call 040-87654321.""","India, Hyderabad","Casual Dining, Family Gatherings, Group Events","Hyderabadi Biryani, Chicken Dum Biryani, Mutton Biryani, Veg Biryani, Mirchi Ka Salan, Raita, Kheer","Hyderabadi, North Indian",1800 Indian Rupees,Dairy,"Mirchi Ka Salan, Raita","Hyderabadi Biryani, Chicken Dum Biryani, Mutton Biryani, Veg Biryani, Mirchi Ka Salan, Raita, Kheer","Biryani Extravaganza: Biryani Bazaar offers an extravagant feast for biryani lovers, with its aromatic Chicken Dum Biryani and flavorful Mutton Biryani stealing the spotlight. The Mirchi Ka Salan adds a spicy kick, while the Kheer provides a sweet conclusion to the meal. With lively ambiance and attentive service, this restaurant captures the essence of Hyderabad's culinary heritage. A Taste of Tradition: Indulge in the rich and diverse flavors of Hyderabadi cuisine at Biryani Bazaar, where every dish is a celebration of tradition and taste. From the succulent Hyderabadi Biryani to the creamy Raita, each bite is a journey through the vibrant streets of Hyderabad. With reasonable prices and top-notch quality, this restaurant promises a memorable dining experience for all."
Coastal Cuisine,"""Coastal Cuisine invites diners to savor the flavors of India's coastal regions, nestled in the vibrant city of Chennai. With a glowing rating of 4.8 and over 2300 satisfied patrons, it promises an unforgettable dining experience at an approximate cost of 1700 Indian rupees for two. For reservations and inquiries, please call 044-87654321.""","India, Chennai","Fine Dining, Seafood Specialties, Celebrations","Fish Curry, Prawn Masala, Crab Roast, Appam, Neer Dosa, Fish Fry, Payasam","South Indian, Coastal",1700 Indian Rupees,Shellfish,"Appam, Neer Dosa, Fish Fry, Payasam","Fish Curry, Prawn Masala, Crab Roast, Appam, Neer Dosa, Fish Fry, Payasam","Coastal Delights: Coastal Cuisine offers a delectable array of seafood delights, with its authentic Fish Curry and Crab Roast capturing the essence of coastal India. The Neer Dosa is a light and fluffy favorite, while the Payasam provides a sweet ending to the meal. With serene ambiance and warm hospitality, this restaurant is a hidden gem in Chennai. A Taste of the Coast: Dive into the rich and diverse flavors of India's coastal cuisine at Coastal Cuisine, where every dish is a celebration of the sea. From the spicy Prawn Masala to the crispy Fish Fry, each bite is a journey through the sandy shores and bustling fishing villages of the coast. With reasonable prices and top-notch quality, this restaurant promises a memorable dining experience for all."
Mughlai Magic,"""Mughlai Magic is a culinary haven for lovers of Mughlai cuisine, located in the historic city of Lucknow. With a stellar rating of 4.9 and over 2500 satisfied patrons, it promises an unforgettable dining experience at an approximate cost of 1800 Indian rupees for two. For reservations and inquiries, please call 0522-9876543.""","India, Lucknow","Fine Dining, Romantic Dinners, Family Gatherings","Chicken Korma, Mutton Biryani, Seekh Kebab, Rogan Josh, Butter Naan, Shahi Tukda, Paan","Mughlai, North Indian",1800 Indian Rupees,Dairy,"Seekh Kebab, Butter Naan, Paan","Chicken Korma, Mutton Biryani, Seekh Kebab, Rogan Josh, Butter Naan, Shahi Tukda, Paan","Royal Indulgence: Mughlai Magic offers a royal dining experience with its rich and aromatic Mughlai dishes, with the Chicken Korma and Mutton Biryani reigning supreme. The Shahi Tukda is a decadent delight, while the Paan provides a refreshing finish to the meal. With elegant ambiance and impeccable service, this restaurant captures the opulence of Mughal dining. A Taste of Royalty: Indulge in the culinary delights of the Mughal era at Mughlai Magic, where every dish is fit for royalty. From the fragrant Seekh Kebab to the velvety Rogan Josh, each bite is a journey through the grandeur of Mughal palaces. With affordable prices and top-notch quality, this restaurant promises a memorable dining experience for all."
